"Episode","Title","Restaurant","Location","Original Air Date"
5,"Aces of Authenticity","Casa Chimayo Restaurant","Santa Fe, New Mexico","October 21, 2013"
5,"Aces of Authenticity","Frank's Noodle House","Portland, Oregon","October 21, 2013"
5,"Aces of Authenticity","Torinos","Albuquerque, New Mexico","October 21, 2013"
6,"Sammies and Stew","Jambo Cafe","Santa Fe, New Mexico","October 28, 2013"
6,"Sammies and Stew","Bocadillos","Albuquerque, New Mexico","October 28, 2013"
7,"All Kinds of Gobble Gobble","Back Street Bistro","Santa Fe, New Mexico","November 18, 2013"
7,"All Kinds of Gobble Gobble","Golden Crown Panaderia","Albuquerque, New Mexico","November 18, 2013"
7,"All Kinds of Gobble Gobble","Danny Edward's BBQ","Kansas City, Missouri","November 18, 2013"
8,"Comfort and Soul","Tin Shed Garden Cafe","Portland, Oregon","November 25, 2013"
8,"Comfort and Soul","Nexus Brewery","Albuquerque, New Mexico","November 25, 2013"
8,"Comfort and Soul","BB's Lawnside BBQ","Kansas City, Missouri","November 25, 2013"
9,"Pork, Pasta and Barbecue","Succotash","Kansas City, Missouri","December 2, 2013"
9,"Pork, Pasta and Barbecue","Cupini's","Kansas City, Missouri","December 2, 2013"
9,"Pork, Pasta and Barbecue","The Cube","Albuquerque, New Mexico","December 2, 2013"
10,"South of the Border","Asi y Asado","Cabo San Lucas, Mexico","December 9, 2013"
10,"South of the Border","Solomon's Landing","Cabo San Lucas, Mexico","December 9, 2013"
10,"South of the Border","Tiki Bar","Cabo San Lucas, Mexico","December 9, 2013"
11,"Tennessee Holiday Traditions","Center Point Pit Barbecue","Hendersonville, Tennessee","December 16, 2013"
11,"Tennessee Holiday Traditions","Mas Tacos por Favor","Nashville, Tennessee","December 16, 2013"
12,"Family Time","The Grilled Cheeserie","Nashville, Tennessee","December 23, 2013"
12,"Family Time","Caffe Nonna","Nashville, Tennessee","December 23, 2013"
12,"Family Time","Blue Koi","Kansas City, Missouri","December 23, 2013"
13,"Soup, Salad and Seafood","Pot Pie","Kansas City, Missouri","December 30, 2013"
13,"Soup, Salad and Seafood","55 South","Franklin, Tennessee","December 30, 2013"
13,"Soup, Salad and Seafood","Phat Bites","Nashville, Tennessee","December 30, 2013"
1,"Guy’s Hometown Tour","Pretzel Cart","Ferndale, California","February 7, 2014"
1,"Guy’s Hometown Tour","Clendenen’s Cider Works","Fortuna, California","February 7, 2014"
1,"Guy’s Hometown Tour","Loleta Cheese Shop","Loleta, California","February 7, 2014"
1,"Guy’s Hometown Tour","Ferndale Meat Co.","Ferndale, California","February 7, 2014"
1,"Guy’s Hometown Tour","Ivanhoe","Ferndale, California","February 7, 2014"
1,"Guy’s Hometown Tour","Humboldt Sweets","Ferndale, California","February 7, 2014"
2,"All Things NY","Black Tree","Manhattan, New York","February 14, 2014"
2,"All Things NY","Queen’s Comfort","Queens, New York","February 14, 2014"
2,"All Things NY","Paul’s Live From New York","Eureka, California","February 14, 2014"
3,"Big Time Bites","Bun-Ker Vietnamese","Queens, New York","February 21, 2014"
3,"Big Time Bites","Brindle Room","Manhattan, New York","February 21, 2014"
3,"Big Time Bites","Brick & Fire","Eureka, California","February 21, 2014"
4,"Keepin' It Real","Sakaya Kitchen","Miami, Florida","February 28, 2014"
4,"Keepin' It Real","Don Antonio By Starita","Manhattan, New York","February 28, 2014"
4,"Keepin' It Real","Bless My Soul","Eureka, California","February 28, 2014"
5,"Dynamite Duos","Duck’s Eatery","Manhattan, New York","March 7, 2014"
5,"Dynamite Duos","Whisk Gourmet","Miami, Florida","March 7, 2014"
5,"Dynamite Duos","Café Nooner","Eureka, California","March 7, 2014"
6,"Kickin It in Key West","Garbo’s Grill","Key West, Florida","March 14, 2014"
6,"Kickin It in Key West","Dj’s Clam Shack","Key West, Florida","March 14, 2014"
6,"Kickin It in Key West","Badboy Burrito","Key West, Florida","March 14, 2014"
7,"From Meatballs to Lollipops","Maxwell’s East Coast Eatery","Salt Lake City, Utah","April 25, 2014"
7,"From Meatballs to Lollipops","Tin Roof Grill","Sandy, Utah","April 25, 2014"
7,"From Meatballs to Lollipops","The Latin House","Miami, Florida","April 25, 2014"
8,"Cross Country Comfort Food","The Silver Star Café","Park City, Utah","May 9, 2014"
8,"Cross Country Comfort Food","Sammy’s Bistro","Park City, Utah","May 9, 2014"
8,"Cross Country Comfort Food","Blue Collar","Miami, Florida","May 9, 2014"
9,"International Family Style","Artiso’s","Salt Lake City, Utah","May 16, 2014"
9,"International Family Style","Boot’s and Kimo’s Homestyle Kitchen","Kailua, Hawaii","May 16, 2014"
9,"International Family Style","Oh Mai","Holladay, Utah","May 16, 2014"
10,"Island Flavor","Dean’s Drive Inn","Kaneohe, Hawaii","May 23, 2014"
10,"Island Flavor","The Alley Restaurant At Aiea Bowl","Aiea, Hawaii","May 23, 2014"
10,"Island Flavor","Elena’s Restaurant","Waipahu, Hawaii","May 23, 2014"
11,"Grillin, Chillin & Huli Huli Chicken","The Federal","Miami, Florida","May 30, 2014"
11,"Grillin, Chillin & Huli Huli Chicken","Mike’s Huli Huli Chicken","Kaneohe, Hawaii","May 30, 2014"
11,"Grillin, Chillin & Huli Huli Chicken","Tamarindo Truck","Orange County, California","May 30, 2014"
12,"Righteous Bites","Loulou’s Griddle In The Middle","Monterey, California","June 6, 2014"
12,"Righteous Bites","Fat Sal’s Deli","Los Angeles, California","June 6, 2014"
12,"Righteous Bites","The Alley Restaurant At Aiea Bowl","Aiea, Hawaii","June 6, 2014"
NA,"Vegas Greats","Bachi Burger","Las Vegas, Nevada","April 14, 2014"
NA,"Vegas Greats","John Mull’s Road Kill Grill","Las Vegas, Nevada","April 14, 2014"
NA,"Vegas Greats","Naked City Pizza","Las Vegas, Nevada","April 14, 2014"
NA,"Vegas Greats","Forte European Tapas Bar & Bistro","Las Vegas, Nevada","April 14, 2014"
NA,"Vegas Greats","UNLV","Las Vegas, Nevada","April 14, 2014"
NA,"Crazy for Chicken","Uncle Lou's","Memphis, Tennessee","April 18, 2014"
NA,"Crazy for Chicken","Tortugas' Lie","Nags Head, North Carolina","April 18, 2014"
NA,"Crazy for Chicken","90 Miles Cuban Cafe","Chicago, Illinois","April 18, 2014"
NA,"Crazy for Chicken","Taco Taco Cafe","San Antonio, Texas","April 18, 2014"
NA,"Crazy for Chicken","Rincon Criollo","Queens, New York","April 18, 2014"
NA,"Crazy for Chicken","Tocabe American Indian Eatery","Denver, Colorado","April 18, 2014"
NA,"Crazy for Chicken","The Glass Onion","Charleston, South Carolina","April 18, 2014"
NA,"Crazy for Chicken","Opal Thai Food","Haleiwa, Hawaii","April 18, 2014"
NA,"Crazy for Chicken","PotPie","Kansas City, Missouri","April 18, 2014"
NA,"Crazy for Chicken","Smalley’s Caribbean Barbeque","Stillwater, Minnesota","April 18, 2014"
NA,"Grilling Greats","Tom's Bar-B-Q","Memphis, Tennessee","June 21, 2014"
NA,"Grilling Greats","Luke's Inside Out","Austin, Texas","June 21, 2014"
NA,"Grilling Greats","Caplansky's Deli","Toronto, Ontario","June 21, 2014"
NA,"Grilling Greats","Danny's All-American Diner & Dairy Bar","Tampa, Florida","June 21, 2014"
NA,"Grilling Greats","Louie Mueller's Barbecue","Taylor, Texas","June 21, 2014"
NA,"Grilling Greats","Rick's Press Room Grill & Bar","Meridian, Idaho","June 21, 2014"
NA,"Grilling Greats","Maple & Motor","Dallas, Texas","June 21, 2014"
NA,"Grilling Greats","Jawaiian Irie Jerk Restaurant","Honolulu, Hawaii","June 21, 2014"
1,"California Cruisin","Sabroso Mexican Grill","Garden Grove, California","September 5, 2014"
1,"California Cruisin","Monterey Fish House","Monterey, California","September 5, 2014"
1,"California Cruisin","Rutt’s Hawaiian Cafe","Los Angeles, California","September 5, 2014"
2,"Stuffed and Twisted","Sidewinder’s American Grill","Jackson, Wyoming","September 12, 2014"
2,"Stuffed and Twisted","Rosine’s Restaurant","Monterey, California","September 12, 2014"
2,"Stuffed and Twisted","Blunch","Boston, Massachusetts","September 12, 2014"
3,"Old Standards, New Styles","Pinky G’s Pizzeria","Jackson, Wyoming","September 19, 2014"
3,"Old Standards, New Styles","The Starling Diner","Long Beach, California","September 19, 2014"
3,"Old Standards, New Styles","Cannery Row Brewing Company","Monterey, California","September 19, 2014"
4,"From Standards to Standouts","Factory Gastrobar","Long Beach, California","September 26, 2014"
4,"From Standards to Standouts","Pica’s Mexican Taqueria","Jackson, Wyoming","September 26, 2014"
4,"From Standards to Standouts","Little Napoli","Carmel, California","September 26, 2014"
5,"All Day Dining","Wild Plum Cafe & Bistro","Monterey, California","October 3, 2014"
5,"All Day Dining","Nora’s Fish Creek Inn","Wilson, Wyoming","October 3, 2014"
5,"All Day Dining","Tavern on 2","Long Beach, California","October 3, 2014"
1,"Roadtrippin’ in Beantown","Cafe Polonia","Boston, Massachusetts","September 5, 2014"
1,"Roadtrippin’ in Beantown","Lone Star Taco Bar","Allston, Massachusetts","September 5, 2014"
1,"Roadtrippin’ in Beantown","Deep Ellum","Allston, Massachusetts","September 5, 2014"
2,"Seriously Saucy","Saus","Boston, Massachusetts","September 12, 2014"
2,"Seriously Saucy","Cafe Genevieve","Jackson, Wyoming","September 12, 2014"
2,"Seriously Saucy","Melt Eclectic Cafe","Cincinnati, Ohio","September 12, 2014"
3,"Cross-Country Classics","Trina’s Starlite Lounge","Somerville, Massachusetts","September 19, 2014"
3,"Cross-Country Classics","Shorty’s Pizza and Smoked Meat","Superior, Wisconsin","September 19, 2014"
3,"Cross-Country Classics","From Scratch Restaurant","Carmel, California","September 19, 2014"
4,"Worldwide Flavorfest","Casa Razdora","Boston, Massachusetts","September 26, 2014"
4,"Worldwide Flavorfest","Island Frydays","Cincinnati, Ohio","September 26, 2014"
4,"Worldwide Flavorfest","Pak’s Green Corner","Duluth, Minnesota","September 26, 2014"
5,"Small Town Standouts","Kounty Quarthouse","South Range, Wisconsin","October 3, 2014"
5,"Small Town Standouts","Junkyard Extreme Burgers and Brats","Junction City, Oregon","October 3, 2014"
5,"Small Town Standouts","Lotus Cafe","Jackson, Wyoming","October 3, 2014"
6,"One Street Wonders","Taste of Belgium","Cincinnati, Ohio","October 10, 2014"
6,"One Street Wonders","Senate Pub","Cincinnati, Ohio","October 10, 2014"
6,"One Street Wonders","Bakersfield OTR","Cincinnati, Ohio","October 10, 2014"
7,"Old School Joints","Cornbread Cafe","Eugene, Oregon","October 31, 2014"
7,"Old School Joints","Gannucci’s Italian Market","Duluth, Minnesota","October 31, 2014"
7,"Old School Joints","Delta Diner","Delta, Wisconsin","October 31, 2014"
8,"Meat In The Middle","The Sandwich League","Eugene, Oregon","November 7, 2014"
8,"Meat In The Middle","The Brick House Cafe and Catering","Cable, Wisconsin","November 7, 2014"
8,"Meat In The Middle","Grano’s Pasta Bar","Baltimore, Maryland","November 7, 2014"
9,"Soup-Centric","Soup Nation","Eugene, Oregon","November 14, 2014"
9,"Soup-Centric","Slainte Irish Pub and Restaurant","Baltimore, Maryland","November 14, 2014"
9,"Soup-Centric","Pho Lang Thang","Cincinnati, Ohio","November 14, 2014"
10,"All Baltimore All The Time","Jimmy’s Famous Seafood","Baltimore, Maryland","November 21, 2014"
10,"All Baltimore All The Time","Clementine","Baltimore, Maryland","November 21, 2014"
11,"Chicken Chowfest","Patton’s Restaurant & Catering","Des Moines, Iowa","November 28, 2014"
11,"Chicken Chowfest","Papa’s Soul Food Kitchen and BBQ","Eugene, Oregon","November 28, 2014"
11,"Chicken Chowfest","Swallow at the Hollow","Baltimore, Maryland","November 28, 2014"
12,"Fresh Fish & Funky Chicken","Fisherman’s Market","Eugene, Oregon","December 5, 2014"
12,"Fresh Fish & Funky Chicken","Mi Patria Ecuadorian Restaurant","West Des Moines, Iowa","December 5, 2014"
12,"Fresh Fish & Funky Chicken","Smokey D’s BBQ","Des Moines, Iowa","December 5, 2014"
13,"Oldies But Goodies","Ernest & Son","Brigantine, New Jersey","December 12, 2014"
13,"Oldies But Goodies","Oyster Creek Inn","Leeds Point, New Jersey","December 12, 2014"
13,"Oldies But Goodies","George The Chili King Drive-In","Des Moines, Iowa","December 12, 2014"
14,"Southern Spectacular","Farmer’s Shed","Lexington, South Carolina","December 22, 2014"
14,"Southern Spectacular","Pine State Biscuits","Portland, Oregon","December 22, 2014"
14,"Southern Spectacular","Sweetie Pie’s","St. Louis, Missouri","December 22, 2014"
14,"Southern Spectacular","Rick’s White Light Diner","Frankfort, Kentucky","December 22, 2014"
14,"Southern Spectacular","Zydeco’s","Mooresville, Indiana","December 22, 2014"
15,"Best of Breakfast","Ruth’s Diner","Salt Lake City, Utah","December 23, 2014"
15,"Best of Breakfast","Lake Effect Diner","Buffalo, New York","December 23, 2014"
15,"Best of Breakfast","Mustache Bill’s","Barnegat Light, New Jersey","December 23, 2014"
15,"Best of Breakfast","Al’s Breakfast","Minneapolis, Minnesota","December 23, 2014"
15,"Best of Breakfast","Louie & the Red Head Lady","Mandeville, Louisiana","December 23, 2014"
15,"Best of Breakfast","Grampa’s Bakery & Restaurant","Dania Beach, Florida","December 23, 2014"
15,"Best of Breakfast","W.O.W – Worth Our Weight","Santa Rosa, California","December 23, 2014"
15,"Best of Breakfast","Schooner or Later","Long Beach, California","December 23, 2014"
15,"Best of Breakfast","Matt’s Big Breakfast","Phoenix, Arizona","December 23, 2014"
16,"Memorable Moms","Rigoletto Italian Bakery & Café","Virginia Beach, Virginia","December 24, 2014"
16,"Memorable Moms","Voula’s Offshore Cafe","Seattle, Washington","December 24, 2014"
16,"Memorable Moms","Nadine’s Restaurant","Pittsburgh, Pennsylvania","December 24, 2014"
16,"Memorable Moms","Kelly O’s Diner","Pittsburgh, Pennsylvania","December 24, 2014"
16,"Memorable Moms","Monte Carlo Steak House","Albuquerque, New Mexico","December 24, 2014"
16,"Memorable Moms","Emily’s Lebanese Deli","Minneapolis, Minnesota","December 24, 2014"
17,"Hometown Heroes","Eischen’s Bar","Okarche, Oklahoma","December 25, 2014"
17,"Hometown Heroes","Otto’s Sausage","Portland, Oregon","December 25, 2014"
17,"Hometown Heroes","South 21 Drive In","Charlotte, North Carolina","December 25, 2014"
17,"Hometown Heroes","Kramarczuk Sausage Company","Minneapolis, Minnesota","December 25, 2014"
17,"Hometown Heroes","Bob’s Clam Hut","Kittery, Maine","December 25, 2014"
17,"Hometown Heroes","Rainbow Drive-In","Honolulu, Hawaii","December 25, 2014"
17,"Hometown Heroes","Tommy’s Joynt","San Francisco, California","December 25, 2014"
18,"Pork Hall of Fame","Union Wood Shop","Clarkston, Michigan","December 26, 2014"
18,"Pork Hall of Fame","Dough Pizzeria Napoletana","San Antonio, Texas","December 26, 2014"
18,"Pork Hall of Fame","Maria’s Taco Express","Austin, Texas","December 26, 2014"
18,"Pork Hall of Fame","Bar Gernika","Boise, Idaho","December 26, 2014"
18,"Pork Hall of Fame","Valencia Luncheria","Norwalk, Connecticut","December 26, 2014"
18,"Pork Hall of Fame","Santa Cruz Diner","Santa Cruz, California","December 26, 2014"
18,"Pork Hall of Fame","North End Caffe","Manhattan Beach, California","December 26, 2014"
18,"Pork Hall of Fame","The Oinkster","Eagle Rock, California","December 26, 2014"
18,"Pork Hall of Fame","Haus Murphy’s","Glendale, Arizona","December 26, 2014"
1,"Fish, Fries and Feet","Flying Mango","Des Moines, Iowa","January 16, 2015"
1,"Fish, Fries and Feet","Kelsey & Kim’s Southern Cafe","Atlantic City, New Jersey","January 16, 2015"
1,"Fish, Fries and Feet","Kelsey & Kim’s Southern Cafe","Atlantic City, New Jersey","January 16, 2015"
1,"Fish, Fries and Feet","Tacopocalypse","Des Moines, Iowa","January 16, 2015"
2,"Cruisin’ the Italian Countryside","Windows On The World (Ristorante WOW)","Montecatini Terme, Italy","January 23, 2015"
2,"Cruisin’ the Italian Countryside","Port Ellen Clan","Lucca, Italy","January 23, 2015"
2,"Cruisin’ the Italian Countryside","La Taverna dei Miracoli da Mangiafuoco","Toscana, Italy","January 23, 2015"
3,"Fillin’ Up in Florence","La Cucina Del Garga","Firenze, Italy","January 30, 2015"
3,"Fillin’ Up in Florence","Il Gusta Pizza","Firenze, Italy","January 30, 2015"
3,"Fillin’ Up in Florence","Fratelli Briganti","Firenze, Italy","January 30, 2015"
4,"Arizona All Stars","Tom’s Thumb Fresh Market","Scottsdale, Arizona","February 6, 2015"
4,"Arizona All Stars","Andreoli – Italian Grocer","Scottsdale, Arizona","February 6, 2015"
4,"Arizona All Stars","Paradise Valley Burger Company","Phoenix, Arizona","February 6, 2015"
5,"Roadtrippin’","The Anchorage Tavern","Somers Point, New Jersey","February 27, 2015"
5,"Roadtrippin’","Salty’s BBQ & Catering","Bakersfield, California","February 27, 2015"
5,"Roadtrippin’","Sal’s Gilbert Pizza","Gilbert, Arizona","February 27, 2015"
6,"From Atlantic to Pacific","KC Steakhouse","Bakersfield, California","March 6, 2015"
6,"From Atlantic to Pacific","Grilled Cheese & Crab Cake Co.","Somers Point, New Jersey","March 6, 2015"
6,"From Atlantic to Pacific","Mama Roomba","Bakersfield, California","March 6, 2015"
7,"Globe Tasting","The Wild Thaiger","Phoenix, Arizona","March 13, 2015"
7,"Globe Tasting","Muertos Kitchen & Lounge","Bakersfield, California","March 13, 2015"
7,"Globe Tasting","Carluccio’s Coal Fired Pizza","Northfield, New Jersey","March 13, 2015"
8,"Sweet, Savory and Saucy","La Santisima Gourmet Taco Shop","Bakersfield, California","April 17, 2015"
8,"Sweet, Savory and Saucy","Moo Creamery","Bakersfield, California","April 17, 2015"
8,"Sweet, Savory and Saucy","24th Street Cafe","Bakersfield, California","April 17, 2015"
9,"Driving Through Charlotte",NA,NA,"May 1, 2015"
10,"Indulgent Dishes",NA,NA,"May 22, 2015"
11,"Grittles & Vittles",NA,NA,"May 29, 2015"
NA,"Food TruckAPalooza","Tamarindo Truck","Orange County, California","February 22, 2015"
NA,"Food TruckAPalooza","Garbo’s Grill","Key West, Florida","February 22, 2015"
NA,"Food TruckAPalooza","The Grilled Cheeserie","Nashville, Tennessee","February 22, 2015"
NA,"Food TruckAPalooza","Fresh Local Wild","Vancouver, British Columbia","February 22, 2015"
NA,"Food TruckAPalooza","Don Chow Tacos","Los Angeles, California","February 22, 2015"
NA,"All Beefed Up","Terry’s Turf Club","Cincinnati, Ohio","March 9, 2015"
NA,"All Beefed Up","Smokin Guns BBQ & Catering","Kansas City, Missouri","March 9, 2015"
NA,"All Beefed Up","Schellville Grill","Sonoma, California","March 9, 2015"
NA,"All Beefed Up","Paul’s Coffee Shop","Fountain Valley, California","March 9, 2015"
NA,"Summer Spectacular",NA,NA,NA
1,"A Bowlful of Soup","Mert's Heart & Soul","Charlotte, North Carolina","July 17, 2015"
1,"A Bowlful of Soup","Crepe Expectations","Las Vegas, Nevada","July 17, 2015"
1,"A Bowlful of Soup","Tubs Fine Chili","Culver City, California","July 17, 2015"
2,"Taste of Asia","DAE GEE Korean BBQ","Denver, Colorado","July 24, 2015"
2,"Taste of Asia","Fat Choy","Las Vegas, Nevada","July 24, 2015"
2,"Taste of Asia","Osaka Japanese Bistro","Las Vegas, Nevada","July 24, 2015"
3,"Best of the Beach","Cafe Brazil","Denver, Colorado","August 3, 2015"
3,"Best of the Beach","Biju's Little Curry Shop","Denver, Colorado","August 3, 2015"
3,"Best of the Beach","Folk Art","Atlanta, Georgia","August 3, 2015"
4,"From Biscuits to Briskets","Fox Bros Bar-B-Q","Atlanta, Georgia","August 7, 2015"
4,"From Biscuits to Briskets","Buttermilk Kitchen","Atlanta, Georgia","August 7, 2015"
4,"From Biscuits to Briskets","Restaurant 415","Fort Collins, Colorado","August 7, 2015"
5,"Homeland Favorites","Joy Cafe","Atlanta, Georgia","August 28, 2015"
5,"Homeland Favorites","Axios Estiatorio","Denver, Colorado","August 28, 2015"
5,"Homeland Favorites","Andale Taqueria & Mercado","Richfield, Minnesota","August 28, 2015"
6,"Name That Kitchen","The Lodge Sasquatch Kitchen","Fort Collins, Colorado","September 11, 2015"
6,"Name That Kitchen","Dana's Kitchen","Falmouth, Massachusetts","September 11, 2015"
6,"Name That Kitchen","Pickle Jar Kitchen","Falmouth, Massachusetts","September 11, 2015"
7,"East Coast Cruisin","Don Antonio by Starita","New York, New York","September 23, 2015"
7,"East Coast Cruisin","Louis Restaurant","Providence, Rhode Island","September 23, 2015"
7,"East Coast Cruisin","Crazy Burger Cafe & Juice Bar","Narragansett, Rhode Island","September 23, 2015"
7,"East Coast Cruisin","The Dining Car & Market","Philadelphia, Pennsylvania","September 23, 2015"
8,"Beef It Up","Driftwood Publick House & Oysteria","Plymouth, Massachusetts","September 18, 2015"
8,"Beef It Up","The General Muir","Atlanta, Georgia","September 18, 2015"
8,"Beef It Up","Buster's on 28th","Minneapolis, Minnesota","September 18, 2015"
9,"By Hand and By Fork","Parkside Market","Falmouth, Massachusetts","September 25, 2015"
9,"By Hand and By Fork","Maria Empanada","Denver, Colorado","September 25, 2015"
9,"By Hand and By Fork","Bayport BBQ","Bayport, Minnesota","September 25, 2015"
10,"Finger Lickin' Food","Wrecking Bar Brewpub","Atlanta, Georgia","October 9, 2015"
10,"Finger Lickin' Food","Shucker's World Famous Raw Bar","Woods Hole, Massachusetts","October 9, 2015"
10,"Finger Lickin' Food","George and the Dragon","Minneapolis, Minnesota","October 9, 2015"
11,"Bite of Britain","Grillstock","London, UK","October 16, 2015"
11,"Bite of Britain","Bird of Smithfield","London, UK","October 16, 2015"
11,"Bite of Britain","Hook Camden Town","Camden, London, UK","October 16, 2015"
12,"Piggin' Out","Pig Latin (Food Truck)","Colorado Springs, Colorado","November 6, 2015"
12,"Piggin' Out","North Bound Smokehouse and Brewpub","Minneapolis, Minnesota","November 6, 2015"
12,"Piggin' Out","United Noodles","Minneapolis, Minnesota","November 6, 2015"
13,"Isle-Talian","The Blue-Eyed Crab Caribbean Grill & Rum Bar","Plymouth, Massachusetts","December 4, 2015"
13,"Isle-Talian","Parvicini's Italian Bistro","Colorado Springs, Colorado","December 4, 2015"
13,"Isle-Talian","Rasta Pasta","Colorado Springs, Colorado","December 4, 2015"
14,"East-West Flavorfest","Mountain Shadows Restaurant","Colorado Springs, Colorado","December 18, 2015"
14,"East-West Flavorfest","Toki Underground","Washington, DC","December 18, 2015"
14,"East-West Flavorfest","Piccini Wood Fired Brick Oven Pizza","Ocean City, NJ","December 18, 2015"
NA,"Amazing Appetizers","Queen's Comfort","Astoria, New York","October 23, 2015"
NA,"Amazing Appetizers","Highland Tavern","Denver, Colorado","October 23, 2015"
NA,"Amazing Appetizers","Boulevard Diner","Dundalk, Colorado","October 23, 2015"
NA,"Amazing Appetizers","Clanton's Cafe","Vinita, Oklahoma","October 23, 2015"
NA,"Amazing Appetizers","10th Ave Burrito Co","Belmar, New Jersey","October 23, 2015"
NA,"Amazing Appetizers","BBQ Shack","Paola, Kansas","October 23, 2015"
NA,"Amazing Appetizers","The Highlander","Atlanta, Georgia","October 23, 2015"
NA,"Amazing Appetizers","Scully's Tavern","Miami, FL","October 23, 2015"
NA,"Ultimate Turkey Fest","Golden Crown Restaurant","Albuquerque, New Mexico","November 19, 2015"
NA,"Ultimate Turkey Fest","Bocadillas: Slow Roasted Sandwich Shop","Albuquerque, New Mexico","November 19, 2015"
NA,"Ultimate Turkey Fest","Funk N Waffles","Syracuse, New York","November 19, 2015"
NA,"Ultimate Turkey Fest","Supino Pizzeria","Detroit, Michigan","November 19, 2015"
NA,"Ultimate Turkey Fest","Comet Cafe","Milwaukee, Wisconsin","November 19, 2015"
NA,"Ultimate Turkey Fest","Mike's City Diner","Boston, Massachusetts","November 19, 2015"
NA,"Ultimate Turkey Fest","Sammy's Food Services & Deli","New Orleans, Louisiana","November 19, 2015"
NA,"Ultimate Turkey Fest","Alpine Steakhouse","Sarasota, Florida","November 19, 2015"
NA,"Ultimate Turkey Fest","Thee Pitts Again","Glendale, Arizona","November 19, 2015"
NA,"Extra Helpings","The Brick House Cafe and Catering","Cable, Wisconsin","November 27, 2015"
NA,"Extra Helpings","Cafe Genevieve","Jackson, Wyoming","November 27, 2015"
NA,"Extra Helpings","Tavern on 2","Long Beach, California","November 27, 2015"
NA,"Extra Helpings","DJ's Clam Shack","Key West, Florida","November 27, 2015"
NA,"Extra Helpings","Café Nooner","Eureka, California","November 27, 2015"
NA,"Extra Helpings","Sakaya Kitchen","Miami, Florida","November 27, 2015"
NA,"Extra Helpings","Bless My Soul","Eureka, California","November 27, 2015"
NA,"Extra Helpings","Brindle Room","New York, New York","November 27, 2015"
NA,"Extra Helpings","Brick & Fire","Eureka, California","November 27, 2015"
NA,"Extra Helpings","Black Tree","New York, New York","November 27, 2015"
NA,"Extra Helpings","Paul's Live From New York","Eureka, California","November 27, 2015"
NA,"Holiday Hoopla","Mas Tacos","Nashville, Tennessee","December 11, 2015"
NA,"Holiday Hoopla","Center Point Pit Barbecue","Hendersonville, Tennessee","December 11, 2015"
NA,"Holiday Hoopla","Miller's East Coast Deli","San Francisco, California","December 11, 2015"
NA,"Holiday Hoopla","Flakowitz of Boynton","Boynton Beach, Florida","December 11, 2015"
NA,"Holiday Hoopla","The Bagel Delicatessen & Restaurant","Denver, Colorado","December 11, 2015"
NA,"Holiday Hoopla","At Last Cafe","Long Beach, California","December 11, 2015"
NA,"Holiday Hoopla","Big Daddy's BBQ & Banquet","Fairbanks, Alaska","December 11, 2015"
1,"All Kinds of Meat","Alewife Baltimore","Baltimore, Maryland","January 1, 2016"
1,"All Kinds of Meat","Carving Room","Washington, DC","January 1, 2016"
1,"All Kinds of Meat","Spice Island Grill","Colorado Springs, Colorado","January 1, 2016"
2,"Triple D ""All Stars""","Tacopocalypse","Des Moines, Iowa","January 3, 2016"
2,"Triple D ""All Stars""","Artiso's","Salt Lake City, Utah","January 3, 2016"
2,"Triple D ""All Stars""","Sakaya Kitchen","Miami, Florida","January 3, 2016"
2,"Triple D ""All Stars""","Chef Lou's Westside Drive-In","Boise, Idaho","January 3, 2016"
2,"Triple D ""All Stars""","Pagoda Restaurant","North Pole, Alaska","January 3, 2016"
3,"Family Legacies","Miss Shirley's Cafe","Baltimore, Maryland","January 15, 2016"
3,"Family Legacies","Sam's Rialto Bar & Grill","Pleasantville, New Jersey","January 15, 2016"
3,"Family Legacies","Front Range Barbeque","Colorado Springs, Colorado","January 15, 2016"
4,"Rockin' New Orleans","The Creole Creamery","New Orleans, Louisiana","January 20, 2016"
4,"Rockin' New Orleans","The Joint","New Orleans, Louisiana","January 20, 2016"
4,"Rockin' New Orleans","Surrey's Cafe","New Orleans, Louisiana","January 20, 2016"
4,"Rockin' New Orleans","Parasol's Restaurant & Bar","New Orleans, Louisiana","January 20, 2016"
4,"Rockin' New Orleans","Joey K's Restaurant & Bar","New Orleans, Louisiana","January 20, 2016"
5,"Between the Bread","Skirted Heiffer","Colorado Springs, Colorado","January 22, 2016"
5,"Between the Bread","Bub and Pop's","Washington, DC","January 22, 2016"
5,"Between the Bread","Vagabond Kitchen & Tap House","Atlantic City, New Jersey","January 22, 2016"
6,"Comfort Food Mash-Up","Trina's Starlite Lounge","Somerville, Massachusetts","February 3, 2016"
6,"Comfort Food Mash-Up","The Starling Diner","Long Beach, California","February 3, 2016"
6,"Comfort Food Mash-Up","The Alley Restaurant at Aiea Bowl","Aiea, Hawaii","February 3, 2016"
6,"Comfort Food Mash-Up","Frank's Noodle House","Portland, Oregon","February 3, 2016"
6,"Comfort Food Mash-Up","Gold 'N Silver Inn","Reno, Nevada","February 3, 2016"
6,"Comfort Food Mash-Up","Ramona Cafe","Ramona, California","February 3, 2016"
7,"Smoke and Seafood","The Fish House","Key Largo, Florida","March 11, 2016"
7,"Smoke and Seafood","Islamorada Shrimp Shack","Islamorada, Florida","March 11, 2016"
7,"Smoke and Seafood","The Smoking Swine","Baltimore, Maryland","March 11, 2016"
