"Episode","Title","Restaurant","Location","Original Air Date"
10,"Cookin' It Old School","Nadine's Restaurant","Pittsburgh, Pennsylvania","October 6, 2008"
10,"Cookin' It Old School","Casamento's Restaurant","New Orleans, Louisiana","October 6, 2008"
10,"Cookin' It Old School","Big Mama's Kitchen & Catering","Omaha, Nebraska","October 6, 2008"
11,"Grabbin'a Sandwich","Moochie's Meatballs & More","Salt Lake City, Utah","October 13, 2008"
11,"Grabbin'a Sandwich","Cemitas Puebla","Chicago, Illinois","October 13, 2008"
11,"Grabbin'a Sandwich","Tioli's Crazee Burger","San Diego, California","October 13, 2008"
12,"Traditional Dishes","Donatelli's","White Bear Lake, Minnesota","November 3, 2008"
12,"Traditional Dishes","Stoney Creek Inn","Baltimore, Maryland","November 3, 2008"
12,"Traditional Dishes","Alcenia's","Memphis, Tennessee","November 3, 2008"
13,"Doin' Their Own Thing","Lone Star Taqueria","Salt Lake City, Utah","November 10, 2008"
13,"Doin' Their Own Thing","Modern Café","Minneapolis, Minnesota","November 10, 2008"
13,"Doin' Their Own Thing","Brewburger's","Omaha, Nebraska","November 10, 2008"
1,"What’s For Breakfast","Surrey’s Café","New Orleans, Louisiana","November 10, 2008"
1,"What’s For Breakfast","Harry’s Roadhouse","Santa Fe, New Mexico","November 10, 2008"
1,"What’s For Breakfast","Dor-Stop Restaurant","Pittsburgh, Pennsylvania","November 10, 2008"
2,"Real Deal Italian","LoBello’s Spaghetti House","Coraopolis, Pennsylvania","November 17, 2008"
2,"Real Deal Italian","Di Pasquale’s","Baltimore, Maryland","November 17, 2008"
2,"Real Deal Italian","Pizzeria Luigi","San Diego, California","November 17, 2008"
3,"Not What You’d Expect","Sophia’s Place","Albuquerque, New Mexico","November 24, 2008"
3,"Not What You’d Expect","Magnolia Café","Austin, Texas","November 24, 2008"
3,"Not What You’d Expect","Glenn’s Diner","Chicago, Illinois","November 24, 2008"
4,"Places You Sent Me","Ruth’s Diner","Salt Lake City, Utah","December 1, 2008"
4,"Places You Sent Me","O’Rourke’s Diner","Middletown, Connecticut","December 1, 2008"
4,"Places You Sent Me","Parasol’s","New Orleans, Louisiana","December 1, 2008"
5,"Long Time Legends","Tommy’s Joynt","San Francisco, California","January 5, 2009"
5,"Long Time Legends","Joe Tess Place","Omaha, Nebraska","January 5, 2009"
5,"Long Time Legends","Big Jim’s","Pittsburgh, Pennsylvania","January 5, 2009"
6,"Something from Everywhere","Valencia Luncheria","Norwalk, Connecticut","January 12, 2009"
6,"Something from Everywhere","The Original Vito & Nick’s Pizzeria","Chicago, Illinois","January 12, 2009"
6,"Something from Everywhere","Emily’s Lebanese Delicatessen","Minneapolis, Minnesota","January 12, 2009"
7,"Neighborhood Favorites","Pat’s BBQ","Salt Lake City, Utah","January 19, 2009"
7,"Neighborhood Favorites","Blow Fly Inn","Gulfport, Mississippi","January 19, 2009"
7,"Neighborhood Favorites","Tune-Up Café","Santa Fe, New Mexico","January 19, 2009"
8,"Just Like Yesterday","Hob Nob Hill","San Diego, California","January 26, 2009"
8,"Just Like Yesterday","The Silver Skillet","Atlanta, Georgia","January 26, 2009"
8,"Just Like Yesterday","Tufano’s Vernon Park Tap","Chicago, Illinois","January 26, 2009"
9,"Return to Route 66","Standard Diner","Albuquerque, New Mexico","February 2, 2009"
9,"Return to Route 66","Dell Rhea's Chicken Basket","Willowbrook, Illinois","February 2, 2009"
9,"Return to Route 66","Salsa Brava","Flagstaff, Arizona","February 2, 2009"
10,"Smokin' BBQ","Green Mesquite","Austin, Texas","February 9. 2009"
10,"Smokin' BBQ","Gorilla BBQ","Pacifica, California","February 9. 2009"
10,"Smokin' BBQ","Wilson’s Holy Smoke BBQ","Fairfield, Connecticut","February 9. 2009"
11,"Regional Classics","Cecilia’s Café","Albuquerque, New Mexico","February 16, 2009"
11,"Regional Classics","Joey K’s Restaurant & Bar","New Orleans, Louisiana","February 16, 2009"
11,"Regional Classics","Kelly O’s Diner","Pittsburgh, Pennsylvania","February 16, 2009"
12,"All Kinds of Fast Food","Super Duper Weenie","Fairfield, Connecticut","March 16, 2009"
12,"All Kinds of Fast Food","California Tacos","Omaha, Nebraska","March 16, 2009"
12,"All Kinds of Fast Food","Bert’s Burger Bowl","Santa Fe, New Mexico","March 16, 2009"
13,"Family Favorites","Giusti’s","Walnut Grove, California","March 23, 2009"
13,"Family Favorites","Haus Murphy’s","Glendale, Arizona","March 23, 2009"
13,"Family Favorites","Louie’s","Dallas, Texas","March 23, 2009"
1,"Funky Joints","Bizzaro Café","Seattle, Washington","April 6, 2009"
